system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\geo\Documents\GitHub\q-bert\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00056] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00057] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00541] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.06610] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.06615] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.06673] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.06675] al_display=02E954B8
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.06676] al_display->vt=02E953F0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08720] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.08722] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08724] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08725] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08726] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08727] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08728] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08728] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08730] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08730] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08731] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.08732] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08733] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.08734] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08736] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.08736] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08737] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.08738] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08739] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.08740] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08741] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08742] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08743] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08744] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08748] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08749] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08750] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08751] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08752] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.08753] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08754] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.08755] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08756] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.08757] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08758] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.08759] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08760] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.08761] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08762] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08762] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08764] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08764] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08765] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08766] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08767] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08768] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08769] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.08770] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08771] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.08772] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08773] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.08774] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08775] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.08776] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08777] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.08777] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08779] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08780] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
